appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
416310,"Goblin Defenders: Steel‘n’ Wood","game",2.99,"2015-11-23 00:00:00",-1,0,0
237070,"Sanctum 2: The Pursuit","dlc",3.99,"2013-10-25 00:00:00",-1,0,1
353070,"Ghost Encounters: Deadwood - Collector's Edition","game",4.99,"2015-03-13 00:00:00",-1,0,0
440000,"Portal 2: Exhumaos","mod",0,"1970-01-01 00:00:00",-1,0,0
251470,"TowerFall Ascension","game",14.99,"2014-03-11 00:00:00",87,0,0
34275,"Gain Ground™","game",2.99,"2010-06-01 00:00:00",-1,0,0
320371,"Raid Mode Character: Albert Wesker","dlc",2.49,"2015-02-24 00:00:00",-1,0,0
12200,"Bully: Scholarship Edition","game",14.99,"2008-10-21 00:00:00",72,0,0
47896,"The Sims™ 3 Fast Lane Stuff","dlc",19.99,"2011-01-27 00:00:00",-1,0,0
333891,"EverQuest II : Going Batty Bundle","dlc",39.99,"2014-12-18 00:00:00",-1,0,1
353190,"Bombshell","game",34.99,"2016-01-29 00:00:00",-1,0,0
249630,"Delver","game",7.99,"2013-09-06 00:00:00",-1,0,0
462480,"Sweet Escape VR","game",19.99,"2016-04-20 00:00:00",-1,0,1
23480,"Ceville Demo","demo",0,"1970-01-01 00:00:00",-1,0,0
36170,"Westward Collection","game",14.99,"2009-07-17 00:00:00",-1,0,0
415550,"Fantasy Grounds - Call of Cthulhu: Fatal Experiments","dlc",9.99,"2015-10-29 00:00:00",-1,0,1
401040,"Disney Infinity 3.0 - Disney Originals (2.0 Edition) All Characters Pack","dlc",39.99,"2015-10-29 00:00:00",-1,0,0
286632,"Call of Duty®: Ghosts - Legend Pack - Soap","dlc",3.99,"2014-05-22 00:00:00",-1,17,1
335100,"Dwarf Tower","game",2.99,"2014-12-23 00:00:00",-1,0,1
222548,"Train Simulator: Boston & Maine GE 44 Loco Add-On","dlc",7.99,"2013-01-17 00:00:00",-1,0,0
421630,"A Study in Steampunk: Choice by Gaslight","game",3.99,"2015-11-20 00:00:00",-1,0,0
415570,"Fantasy Grounds - D&D Sword Coast Adventurer's Guide","dlc",34.99,"2015-11-03 00:00:00",-1,0,1
268030,"Battle Worlds: Kronos Demo","demo",0,"2013-12-10 00:00:00",71,0,1
399790,"Destiny Warriors RPG","game",1.99,"2015-09-11 00:00:00",-1,0,0
391100,"Frizzy","game",2.99,"2015-12-23 00:00:00",-1,0,0
340230,"Tales Runner - Three-Legged Race Starter Pack","dlc",13.99,"2015-02-17 00:00:00",-1,0,1
331210,"Bolt Riley, A Reggae Adventure","game",9.99,"2016-04-20 00:00:00",-1,0,0
259740,"Nightmares from the Deep: The Cursed Heart","game",9.99,"2014-02-05 00:00:00",-1,0,0
423740,"Save Your Mother","game",0,"2015-12-03 00:00:00",-1,0,0
373770,"LiEat","game",2.99,"2016-02-25 00:00:00",-1,0,0
346720,"Vindictus: Ultimate Starter Package","dlc",0,"2015-02-10 00:00:00",-1,0,1
210040,"Street Fighter X Tekken: Poison (Swap Costume)","dlc",0.99,"2012-07-20 00:00:00",-1,0,1
321232,"Line of Defense - Commander","dlc",0,"2014-09-16 00:00:00",-1,0,1
220420,"Nancy Drew: The Deadly Device","game",19.99,"2012-10-23 00:00:00",-1,0,0
15970,"Luxor","game",9.99,"2008-06-10 00:00:00",-1,0,0
363781,"Games of Glory - “Superstar”","dlc",39.99,"2015-05-26 00:00:00",-1,0,1
331190,"Master Spy","game",9.99,"2015-09-08 00:00:00",68,0,0
282516,"Alien: Isolation – The Trigger","dlc",7.99,"2015-03-02 00:00:00",-1,0,0
400989,"Disney Infinity 3.0 - Mounts Pack","dlc",4.99,"2015-10-29 00:00:00",-1,0,0
461890,"NORTH","game",1.99,"2016-04-27 00:00:00",-1,0,0
215314,"Clan of Champions - Three-Eyed Deity's Aegis 1","dlc",2.99,"2012-11-14 00:00:00",-1,18,1
226780,"MUD Motocross World Championship","game",9.99,"2013-02-26 00:00:00",-1,0,1
436170,"Parasite Demo","demo",0,"2016-01-19 00:00:00",-1,0,0
372930,"New York Mysteries: Secrets of the Mafia","game",6.99,"2015-05-22 00:00:00",-1,0,0
272960,"Defiance: Gunslinger Trials","dlc",9.99,"2014-03-11 00:00:00",-1,17,1
378730,"Race The Sun Original Soundtrack","dlc",1.99,"2015-07-27 00:00:00",-1,0,0
369410,"Life Of Pixel - Soundtrack","dlc",0.99,"2015-05-19 00:00:00",-1,0,0
12830,"Operation Flashpoint: Dragon Rising","game",9.99,"2009-10-06 00:00:00",76,17,0
391431,"Toy Soldiers: War Chest - Cobra Pack","dlc",4.99,"2015-08-12 00:00:00",-1,0,1
418380,"The Color Out of Space","video",1.99,"2016-01-08 00:00:00",-1,0,0
356570,"Party Hard","game",12.89,"2015-08-25 00:00:00",66,17,0
344880,"In Exilium","game",3.99,"2015-03-13 00:00:00",-1,0,1
385330,"Stray Cat Crossing","game",2.99,"2015-08-28 00:00:00",-1,0,0
419190,"See No Evil 2","video",3.99,"2016-04-22 00:00:00",-1,0,0
404100,"STEEL STRIDER","game",5.99,"2015-11-12 00:00:00",-1,0,0
208500,"F1 2012™","game",19.99,"2012-09-17 00:00:00",80,0,1
341760,"Flem","game",5.99,"2015-04-28 00:00:00",-1,0,0
292050,"Valkyrie Hat (or ""Buy Us Coffee"") DLC for Secrets of Grindea","dlc",4.99,"2015-07-13 00:00:00",-1,0,1
39510,"Gothic II: Gold Edition","game",9.99,"1970-01-01 00:00:00",79,0,0
331330,"Behemoth - Monster","dlc",9.99,"2015-03-30 00:00:00",-1,17,1
438560,"Mystery Case Files®: Escape from Ravenhearst™","game",9.99,"2016-02-03 00:00:00",-1,0,0
348010,"Forward to the Sky Demo","demo",0,"2015-02-03 00:00:00",-1,0,0
322900,"War, the Game","game",6.99,"2015-01-12 00:00:00",65,0,1
327640,"CaesarIA","game",0,"2015-01-20 00:00:00",-1,0,0
236730,"Anomaly 2","game",14.99,"2013-05-15 00:00:00",77,0,1
202370,"Scary Girl","game",6.99,"2012-04-09 00:00:00",-1,0,0
439500,"LEGO® MARVEL's Avengers DLC - The Masters of Evil Pack","dlc",2.99,"2016-03-29 00:00:00",-1,0,0
258353,"Rocksmith® 2014 – Iron Maiden Song Pack","dlc",11.99,"2013-11-05 00:00:00",-1,0,0
383310,"Luciel's DLC Package","dlc",39.99,"2015-07-01 00:00:00",-1,0,1
24488,"King Arthur II: Dead Legions","dlc",4.99,"2012-01-27 00:00:00",-1,0,0
271370,"Transport Giant","game",9.99,"2014-09-05 00:00:00",-1,0,0
428800,"liteCam Game 5:  120 FPS Game Capture + Streamer","game",19.99,"2015-12-18 00:00:00",-1,0,0
297143,"ComiPo!: RPG Costume","dlc",17.99,"2014-09-16 00:00:00",-1,0,0
438810,"Tic-Toc-Tower - Teslagrad DLC","dlc",0.99,"2016-02-23 00:00:00",-1,0,1
204060,"Superbrothers: Sword & Sworcery EP","game",7.99,"2012-04-16 00:00:00",-1,0,0
34620,"Order of War Demo","demo",0,"2009-08-03 00:00:00",69,0,0
401250,"Zulu Response","game",0,"2016-05-07 20:16:00",-1,0,1
410040,"Hope in Hell","game",2.99,"2015-11-04 00:00:00",-1,0,0
